"citric acid","chlorides","pH","alcohol"
0.26,0.07,3.37,9.4
0.48,0.1,3.19,9.5
0.1,0.085,3.34,10.2
0.03,0.072,3.37,9
0.24,0.36,3,9.5
0.03,0.058,3.36,9.1
0.21,0.08,3.33,9.5
0.04,0.085,3.35,9.5
0.21,0.08,3.33,9.5
0,0.068,3.48,9.6
0.14,0.067,3.19,9.5
0.14,0.067,3.19,9.5
0.49,0.27,3.12,9.3
0.02,0.076,3.44,9.3
0.2,0.077,3.54,9.3
0.57,0.111,3.26,9.7
0.48,0.082,3.34,9.2
0.1,0.084,3.39,9.7
0.33,0.084,3.2,9.5
0.32,0.082,3.2,9.5
0.35,0.077,3.23,9.4
0.12,0.099,3.28,9.5
0.21,0.071,3.28,9.7
0.21,0.071,3.28,9.7
0.33,0.074,3.25,9.4
0.3,0.074,3.46,10.2
0.06,0.061,3.51,11.4
0.48,0.097,3.04,9.3
0.11,0.075,3.36,9.5
0.35,0.088,3.34,9.2
0.31,0.069,3.29,9.3
0.28,0.1,3.22,9.4
0.26,0.06,3.3,10.1
0.49,0.06,3.34,10.5
0.16,0.101,3.14,11
0.22,0.072,3.36,9.1
0.19,0.076,3.39,9.7
0.33,0.08,3.3,9.5
0.26,0.101,3.15,9.4
0.04,0.057,3.42,9.5
0.36,0.089,3.31,10.4
0.14,0.089,3.39,9.8
0.25,0.081,3.46,11
0.25,0.081,3.46,11
0.37,0.263,3,9.3
0.07,0.075,3.38,9.5
0.17,0.072,3.2,9.3
0.48,0.09,3.17,10.5
0.42,0.092,3.23,9.5
0.23,0.073,3.26,9.3
0.37,0.075,3.22,9.2
0,0.075,3.49,9.2
0.76,0.611,3.06,9.4
0.23,0.077,3.29,9.3
0.04,0.087,3.35,9.4
0.03,0.07,3.34,10
0.23,0.077,3.28,9.3
0.49,0.064,3.08,10.9
0,0.096,3.6,9.8
0.58,0.071,3.22,10.1
0.2,0.076,3.31,9.4
0.18,0.088,3.38,9.4
0.12,0.067,3.36,9.1
0.07,0.102,3.31,9.8
0.07,0.102,3.31,9.8
0.53,0.105,3.2,9.2
0.48,0.343,3.3,10.5
0.46,0.073,3.05,9.5
0.37,0.086,3.16,9.9
0.06,0.083,3.67,9.6
0.02,0.094,3.67,9.7
0.06,0.08,3.68,9.6
0.12,0.092,3.51,10
0.12,0.186,3.39,9.5
0.6,0.112,3.2,9.2
0.32,0.082,3.36,9.4
0.3,0.076,3.3,9.4
0.29,0.087,3.39,11
0.23,0.102,3.3,10.1
0.26,0.09,3.24,9.7
0.05,0.079,3.29,9.3
0.5,0.107,3.28,11.5
0.39,0.061,3.18,9.5
0.08,0.105,3.13,11
0.32,0.08,3.31,10.3
0,0.067,3.6,9.9
0,0.09,3.27,9.3
0.79,0.12,3.18,13
0.52,0.08,3.26,11
0.23,0.099,3.19,9.4
0.66,0.072,3.05,10
0.63,0.071,2.99,10.2
0.61,0.076,3.16,9
0.52,0.159,3.18,9.4
0.02,0.063,3.57,9.9
0.22,0.106,3.05,9.2
0.28,0.087,3.42,9.2
0.52,0.082,3.18,9.5
0.61,0.112,3.16,9.1
0.65,0.063,3.03,9.9
0.02,0.122,3.47,9.9
0.22,0.064,3.1,9.4
0.02,0.122,3.47,9.9
0.05,0.075,3.26,9.1
0.49,0.07,3.05,9.6
0.35,0.08,3.38,9.5
0.16,0.1,3.27,9.3
0.34,0.087,3.26,9.5
0.24,0.117,3.32,9.3
0.12,0.091,3.44,10.5
0,0.066,3.62,9.9
0.2,0.047,3.36,10.9
0.2,0.047,3.36,10.9
0.33,0.07,3.24,9.3
0.35,0.074,3.25,9.2
0.63,0.091,3.16,9.5
0.63,0.091,3.16,9.5
0.18,0.062,3.08,9.3
0.6,0.081,3.1,10.5
0.29,0.127,3.22,11.2
0.4,0.063,3.5,11.1
0.39,0.095,3.37,10.3
0.21,0.097,3.28,9.6
0.66,0.074,3.25,9
0.22,0.087,3.26,9.3
0.68,0.085,3.18,11.8
0.7,0.098,3.08,9
0.4,0.098,3.48,9.7
0.02,0.07,3.2,9.8
0.65,0.093,3.05,10.6
0.55,0.062,3.26,10.6
0.24,0.087,3.14,10.2
0.41,0.091,3.28,9.7
0.24,0.087,3.14,10.2
0.39,0.069,3.12,9.2
0.59,0.152,3.04,9.4
0.6,0.152,3.04,9.4
0.39,0.054,3.17,10
0.39,0.054,3.17,10
0.32,0.09,3.32,11.1
0.49,0.073,3.02,9.5
0.49,0.122,3.31,9.3
0.49,0.2,3.16,8.4
0.49,0.088,3.36,11
0.49,0.088,3.48,9.1
0.49,0.099,3.38,9.8
0.49,0.085,3.22,9.4
0.49,0.086,3.23,9.5
0.24,0.105,3.24,9.9
0.49,0.088,3.36,11
0.24,0.077,3.09,9.4
0.49,0.098,3.16,10.3
0.49,0.098,3.16,10.3
0.24,0.077,3.09,9.4
0.74,0.1,3.22,11.2
0.24,0.101,3.26,9.6
0.24,0.07,3.12,9.9
0.49,0.094,3.08,9.1
0.24,0.05,3.74,11.5
0.49,0.095,2.92,11.1
0.49,0.095,2.92,11.1
0.49,0.095,2.92,11.1
0.49,0.075,3.14,11.4
0.49,0.078,3.23,9.2
0.49,0.094,3.08,9.2
0.49,0.075,3.14,11.4
0.49,0.075,3.14,10.4
0.49,0.07,3.3,9.6
0.24,0.103,3.34,10
0.49,0.083,3.3,9.5
0.49,0.085,3.29,9.8
0.49,0.089,3.19,9.6
0.49,0.089,3.19,9.6
0.49,0.083,3.19,9.2
0.24,0.108,3.26,9.3
0.49,0.084,3.35,9.7
0.49,0.084,3.35,9.7
0.58,0.094,3.29,9
0.17,0.096,3.4,9.5
0.41,0.086,3.27,9.3
0.27,0.088,3.26,10
0,0.081,3.3,9.3
0.54,0.083,3.39,9.2
0.55,0.081,2.98,9.4
0.38,0.058,3.26,9.8
0.5,0.079,3.5,9.7
0.5,0.079,3.5,9.7
0.5,0.122,3.13,10.2
0.41,0.088,3.09,9.3
0.24,0.076,3.27,9.4
0.23,0.078,3.28,9.4
0.22,0.08,3.13,9.5
0,0.124,3.46,10.2
0,0.124,3.46,10.2
0.29,0.098,3.36,9.1
0.29,0.098,3.36,9.1
0.23,0.111,3.21,9.3
0.54,0.105,3.25,9.5
0.22,0.105,3.43,11.3
0.21,0.073,3.27,9.5
0,0.065,3.27,9.7
0.28,0.086,3.24,9.4
0.27,0.084,3.24,9.4
0.45,0.071,3.39,9.4
0.44,0.071,3.46,9.5
0.45,0.071,3.39,9.4
0.44,0.071,3.46,9.5
0.45,0.071,3.39,9.4
0.05,0.107,3.4,10.1
0.01,0.07,3.32,11
0.39,0.106,2.89,9.6
0.25,0.104,3.41,11.2
0.65,0.096,2.98,14.9
0.47,0.074,3.08,9.5
0.17,0.087,3.14,9.4
0.39,0.106,2.89,9.6
0.02,0.096,3.41,11
0.31,0.08,3.31,9
0.52,0.092,3.03,10.2
0.14,0.084,3.14,9.7
0.43,0.059,3.15,11
0.24,0.083,3.26,10
0.21,0.074,3.2,9.5
0.34,0.079,3.15,9.5
0.21,0.074,3.2,9.5
0.39,0.064,3.26,10.2
0.11,0.084,3.4,9.9
0.1,0.081,3.48,10
0.45,0.06,3.13,9.6
0.58,0.07,3.06,9
0.31,0.078,3.33,9.8
0.23,0.059,3.37,11.3
0.32,0.078,3.25,9.4
0.23,0.059,3.37,11.3
0.18,0.07,3.44,9.1
0.23,0.095,3.28,9.7
0.04,0.039,3.4,9.4
0.48,0.157,3.3,9.4
0,0.097,3.63,10.7
0.24,0.087,3.48,9.8
0.51,0.422,3.03,9
0.32,0.084,3.32,9.4
0.31,0.084,3.31,9.4
0.28,0.087,3.31,9.7
0.48,0.073,3.32,9.6
0.04,0.078,3.29,9.7
0.15,0.073,3.37,9.9
0.08,0.093,3.4,10
0.19,0.077,3.37,10.5
0.43,0.08,3.06,10.1
0.34,0.093,3.38,9.5
0,0.084,3.36,9.4
0.36,0.075,3.34,9.4
0.28,0.078,3.28,9.8
0.36,0.075,3.34,9.4
0.11,0.079,3.21,10
0.04,0.082,3.22,9.6
0,0.086,3.46,9.5
0.04,0.082,3.22,9.6
0.24,0.094,3.1,9.2
0.08,0.084,3.21,10
0.3,0.053,2.94,9.5
0.1,0.086,3.54,11.2
0.17,0.077,3.29,10.4
0.02,0.067,3.46,9.5
0.02,0.067,3.46,9.5
0.66,0.387,3.17,9.6
0.13,0.088,3.44,11.5
0.03,0.092,3.39,9.6
0.34,0.082,3.55,9.5
0.2,0.075,3.48,9.3
0.1,0.112,3.26,9.5
0.1,0.112,3.26,9.5
0.23,0.092,3.1,9.2
0,0.088,3.35,9.3
0.24,0.078,3.21,9.5
0,0.065,3.46,9.2
0.58,0.096,3.13,10
0.54,0.095,3.13,9.5
0.4,0.083,3.3,9.4
0.1,0.089,3.29,9.5
0.1,0.089,3.29,9.5
0.13,0.097,3.39,9.4
0.1,0.089,3.29,9.5
0,0.084,3.25,9.8
0,0.084,3.25,9.8
0.21,0.092,3.19,9.2
0.25,0.075,3.23,9.7
0.26,0.096,3.25,9.6
0.26,0.096,3.25,9.6
0.18,0.089,3.14,9.4
0.32,0.103,3.45,9.5
0.01,0.076,3.39,9.6
0.26,0.082,3.28,9.4
0.27,0.082,3.27,9.4
0,0.102,3.43,10
0.3,0.079,3.36,10.5
0.03,0.076,3.5,9.8
0.14,0.114,3.66,9.8
0.05,0.081,3.36,10
0.14,0.114,3.66,9.8
0.01,0.077,3.55,9.8
0.41,0.083,3.21,9.5
0.41,0.083,3.21,9.5
0.17,0.099,3.09,9.3
0.17,0.084,3.23,9.6
0,0.055,3.38,10.8
0.3,0.132,2.99,10.2
0.31,0.126,3.1,9.6
0.08,0.082,3.25,9.4
0.09,0.068,3.23,10
0.12,0.165,3.26,9.2
0.1,0.068,3.3,10.5
0.33,0.099,3.24,10.8
0.24,0.102,3.44,11.4
0.33,0.099,3.24,10.8
0,0.071,3.29,9.4
0.15,0.097,3.28,9.6
0,0.099,3.34,9.7
0.13,0.076,3.61,9.8
0.13,0.076,3.61,9.8
0.28,0.068,3.24,10.3
0.14,0.076,3.36,10.7
0.14,0.076,3.36,10.7
0.07,0.058,3.38,10.9
0.42,0.145,3.38,9.9
0.44,0.147,3.38,9.9
0.26,0.088,3.32,9.4
0.1,0.066,3.39,9.3
0.04,0.092,3.46,10
0,0.115,3.45,10.3
0.35,0.088,3.28,9.4
0.21,0.081,3.59,9.8
0.21,0.081,3.59,9.8
0.21,0.081,3.59,9.8
0.21,0.08,3.58,9.8
0.44,0.085,3.28,9.5
0.44,0.085,3.28,9.5
0.32,0.08,3.22,9.7
0.06,0.077,3.51,9.5
0.32,0.067,3.24,10.4
0.06,0.078,3.51,9.7
0.06,0.077,3.51,9.5
0.07,0.077,3.51,9.7
0.03,0.086,3.53,10.6
0.24,0.067,3.43,10
0,0.067,3.4,10.9
0.04,0.076,3.53,9.5
0.18,0.078,3.15,9.9
0.04,0.076,3.53,9.5
0.14,0.086,3.34,10.5
0.34,0.112,3.22,9.3
0.24,0.071,3.44,10.1
0.03,0.078,3.53,9.7
0.03,0.078,3.53,9.7
0.02,0.084,3.48,11
0.36,0.056,3.4,11.8
0.2,0.081,3.23,9.5
0.27,0.084,3.39,11
0.19,0.161,3.62,11
0.37,0.091,3.24,10.5
0.27,0.055,3.18,11.2
0.19,0.093,3.2,9.2
0.27,0.055,3.18,11.2
0.01,0.08,3.69,10.5
0.01,0.074,3.48,9.8
0.01,0.074,3.48,9.8
0.01,0.08,3.69,10.5
0.5,0.071,3.07,10.4
0.17,0.073,3.61,11.4
0.52,0.09,3.36,10.4
0.05,0.089,3.36,10
0.14,0.078,3.27,9.3
0.02,0.115,3.38,9.5
0.2,0.097,3.13,9.2
0.09,0.079,3.46,10.2
0.44,0.079,3.52,10.7
0.3,0.083,3.44,9.4
0.3,0.083,3.44,9.4
0.29,0.109,3.15,9.1
0.49,0.075,3.13,10.4
0.26,0.079,3.25,10
0.49,0.075,3.13,10.4
0.3,0.08,3.44,9.4
0.12,0.097,3.16,9.4
0.12,0.097,3.16,9.4
0.28,0.082,3.45,9.4
0.28,0.082,3.45,9.4
0.45,0.092,3.15,9.4
0.29,0.081,3.25,10.3
0.36,0.116,3.18,10.9
0.15,0.102,3.23,10
0.14,0.078,3.53,10.4
0.09,0.062,3.35,10.5
0,0.065,3.49,11.6
0,0.095,3.36,9.6
0.1,0.074,3.35,9.2
0,0.088,3.58,10.2
0.17,0.082,3.49,10.4
0.17,0.082,3.49,10.4
0.59,0.414,3.03,9.2
0.05,0.073,3.56,12.9
0.25,0.104,3.15,9.1
0.35,0.086,3.31,10.8
0.2,0.098,3.2,9.2
0.2,0.098,3.2,9.2
0.65,0.08,3.27,11
0.65,0.08,3.27,11
0.08,0.074,3.12,9.6
0.47,0.087,3.15,10.5
0.38,0.096,3.2,9.4
0.38,0.096,3.2,9.4
0.28,0.048,3.41,12.8
0.1,0.09,3.36,9.5
0,0.066,3.52,12.9
0,0.096,3.62,11.5
0.33,0.095,3.22,10
0.21,0.045,3.32,9.5
0.15,0.104,3.14,9.1
0.23,0.066,3.43,10.1
0.25,0.118,3.15,9.8
0.25,0.118,3.15,9.8
0.43,0.11,3.16,10.8
0.24,0.078,3.29,10
0.24,0.078,3.29,10
0.5,0.369,3.01,9.4
0.26,0.111,2.94,10.2
0.03,0.079,3.58,11.2
0,0.041,3.68,11.4
0.43,0.068,3.19,11.4
0.07,0.07,3.29,9.3
0.23,0.08,3.36,10.9
0.03,0.079,3.52,12.2
0.23,0.08,3.36,10.9
0.05,0.075,3.3,9.6
0,0.166,3.56,10.8
0,0.166,3.56,10.8
0.19,0.111,3.14,9.4
0.55,0.136,3.35,10
0.15,0.076,3.32,9.3
0.23,0.091,3.15,9.4
0.03,0.08,3.02,9.2
0.25,0.104,3.27,9.6
0.29,0.075,3.4,9.5
0.01,0.074,3.38,10.8
0.29,0.075,3.4,9.5
0.37,0.057,3.23,9.3
0.32,0.054,3.3,11.5
0,0.081,3.38,9.6
0,0.057,3.45,11.8
0.2,0.076,3.1,9.3
0.39,0.079,3.16,9.8
0.22,0.082,3.37,9.5
0.19,0.082,3.49,10.5
0.07,0.086,3.12,10
0.19,0.082,3.49,10.5
0.14,0.077,3.28,9.8
0,0.123,3.45,9.8
0,0.096,3.43,9.5
0.06,0.079,3.4,10.9
0.02,0.069,3.47,11
0.22,0.082,3.1,9.2
0.68,0.403,3.02,9.3
0,0.083,3.59,11.2
0.38,0.081,3.15,9.8
0,0.089,3.37,9.6
0,0.077,3.5,11.2
0.2,0.073,3.1,9.3
0.4,0.05,3.28,12
0.19,0.071,3.39,10.9
0.5,0.09,3.15,10.5
0.08,0.056,3.22,13
0.3,0.068,3.3,10.2
0.3,0.068,3.3,10.2
0,0.1,3.36,11
0,0.084,3.34,9.7
0,0.093,3.2,9.5
0,0.093,3.2,9.5
0,0.137,3.5,10.9
0.44,0.081,3.36,11.2
0.21,0.087,3.12,9.2
0.26,0.073,3.3,9.8
0.32,0.088,3.29,10.1
0.09,0.068,3.41,11.1
0.32,0.088,3.29,10.1
0.1,0.071,3.28,9.2
0.26,0.073,3.3,9.8
0.21,0.083,3.34,10.5
0.34,0.094,3.26,10.1
0.42,0.058,3.18,11.4
0.11,0.073,3.34,9.3
0.26,0.107,3.26,9.2
0.22,0.079,3.18,9.6
0,0.166,3.39,10
0,0.057,3.36,9.5
0,0.057,3.36,9.5
0,0.057,3.36,9.5
0.48,0.077,3.09,11
0.01,0.056,3.52,11.4
0.03,0.078,3.34,9.5
0.03,0.078,3.34,9.5
0,0.081,3.41,10.8
0.29,0.069,3.34,10
0.03,0.086,3.37,10.3
0.03,0.086,3.37,10.3
0.03,0.077,3.35,10
0.25,0.086,3.36,10.1
0.25,0.084,3.36,10.1
0.17,0.168,3.28,9.5
0.31,0.112,3.24,10.9
0.14,0.093,3.36,10.1
0.27,0.08,3.29,9.8
0.09,0.115,3.18,9.5
0.08,0.094,3.24,9.8
0,0.069,3.33,10.4
0.51,0.415,3,9.2
0.51,0.415,3,9.2
0.27,0.11,3.24,9.3
0,0.267,3.32,9.8
0.26,0.083,3.26,9.9
0.2,0.086,3.11,10
0.09,0.074,3.38,9.6
0.22,0.08,3.3,9.9
0.22,0.08,3.3,9.9
0.15,0.107,3.19,9.5
0.25,0.076,3.19,9.2
0.07,0.1,3.3,9.6
0.07,0.1,3.3,9.6
0.31,0.083,3.35,10.3
0.02,0.08,3.1,9.7
0.22,0.094,3.37,11
0.06,0.07,3.17,9.8
0.25,0.078,3.3,10.2
0.14,0.07,3.32,9.2
0.1,0.09,3.31,9.55
0.26,0.08,3.28,9.9
0.21,0.08,3.25,9.9
0.21,0.08,3.25,9.9
0.25,0.104,3.04,10.1
0.59,0.077,3.2,9.6
0,0.065,3.56,9.4
0.59,0.077,3.2,9.6
0.01,0.077,3.16,9.8
0.21,0.077,3.27,9.9
0.01,0.077,3.16,9.8
0.18,0.079,3.34,9.4
0.09,0.123,3.5,11
0.33,0.078,3.3,11.2
0,0.072,3.31,11
0.4,0.049,3.33,11.3
0.24,0.066,3.37,10.4
0.38,0.169,3.15,8.5
0.29,0.07,3.53,11.1
0,0.052,3.41,10.3
0.02,0.078,3.4,9.8
0.2,0.058,3.38,11.7
0.02,0.078,3.4,9.8
0,0.08,3.4,9.7
0.01,0.08,3.4,9.7
0.33,0.074,3.41,9
0.33,0.074,3.41,9
0.4,0.067,3.39,10.5
0,0.06,3.59,10
0.1,0.063,3.41,9.7
0.1,0.063,3.41,9.7
0.08,0.067,3.52,11
0.05,0.061,3.31,9.7
0.11,0.084,2.88,9.7
0.08,0.067,3.43,12.6
0.08,0.071,3.38,11
0.5,0.205,3.16,8.8
0.5,0.205,3.16,8.8
0.05,0.082,3.4,10.2
0.6,0.104,3.39,10.6
0.03,0.08,3.66,10.1
0.6,0.104,3.39,10.6
0.54,0.114,3.33,10.3
0.44,0.042,3.35,10.7
0.06,0.06,3.53,10.9
0.16,0.074,3.37,9.7
0.21,0.07,3.38,10.3
0.05,0.066,3.52,10.6
0.04,0.049,3.72,11.4
0.04,0.049,3.72,11.4
0.06,0.05,3.57,11.95
0.26,0.089,3.26,9.7
0.26,0.089,3.26,9.7
0.04,0.076,3.26,9.6
0.29,0.083,3.16,9.4
0.18,0.078,3.31,9.8
0.02,0.078,3.55,9.95
0.4,0.062,3.28,11.1
0.04,0.068,3.44,9.8
0.25,0.071,3.42,10.6
0.46,0.114,3.32,10.5
0.08,0.106,3.44,10.2
0.2,0.082,3.39,9.05
0.25,0.071,3.42,10.6
0.25,0.076,3.34,10.4
0.08,0.064,3.33,9.7
0.1,0.081,3.6,10.2
0.3,0.074,3.39,9
0.09,0.081,3.57,12
0.32,0.065,3.46,9.9
0.02,0.072,3.36,10.2
0.1,0.048,3.55,12.1
0.5,0.099,3.1,10.4
0,0.087,3.45,9.5
0,0.083,3.44,9.4
0,0.08,3.41,9.4
0.04,0.066,3.53,9.9
0.33,0.235,3.22,9.5
0.26,0.08,3.21,9.9
0.26,0.08,3.21,9.9
0.26,0.08,3.21,9.9
0.13,0.076,3.29,10.1
0.13,0.076,3.29,10.1
0.13,0.076,3.29,10.1
0.13,0.076,3.29,10.1
0.13,0.077,3.34,9.2
0.32,0.069,3.33,9.5
0.09,0.053,3.54,11.3
0.09,0.053,3.54,11.3
0.1,0.053,3.57,11.9
0.29,0.074,3.33,9.8
0.2,0.073,3.29,9.2
0.08,0.09,3.45,10.5
0.12,0.075,3.57,10.2
